Project,Company,Category,SubCat,URL,Starcount,Subscribers,TotalIssues,Forks,Contributors,Releases,Pulls,TopLanguage,GitURL
prestodb/presto,Ahana,Data,Database,Ahana.io,11528,891,15547,3949,333,0,11150,Java,https://github.com/prestodb/presto
airbytehq/airbyte,Airbyte,Data,Integration,airbyte.io,404,24,1489,41,18,13,945,Java,https://github.com/airbytehq/airbyte
algorand/go-algorand,Algorand,Blockchain,Blockchain,algorando.com,373,40,1784,141,40,28,1271,Go,https://github.com/algorand/go-algorand
allegroai/clearml,Allegro,AI/ML,AI/ML Ops,allegro.ai,2065,66,269,262,22,37,34,Python,https://github.com/allegroai/clearml
Alluxio/alluxio,Alluxio,Data,Orchestration,alluxio.com,4879,431,12682,2394,350,42,11748,Java,https://github.com/Alluxio/alluxio
ClickHouse/ClickHouse,Altinity,Data ,Analytical,altinity.com,13983,608,18691,2759,296,70,12126,C++,https://github.com/ClickHouse/ClickHouse
anchore/anchore-engine,Anchore,Containers,Security,https://anchore.com/,1132,51,812,192,35,0,288,Python,https://github.com/anchore/anchore-engine
ray-project/ray,Anyscale,Dev Framework,PaaS,https://www.anyscale.com/,14265,412,12904,2282,401,39,7466,Python,https://github.com/ray-project/ray
spinnaker/spinnaker,Armory,Devops,CD,https://www.armory.io/,7553,368,6243,1065,111,70,1511,Shell,https://github.com/spinnaker/spinnaker
kubeflow/kubeflow,Arrikto,AI/ML,AI/ML Ops,https://www.arrikto.com/,9783,392,5474,1571,208,72,2497,Jsonnet,https://github.com/kubeflow/kubeflow
apache/airflow,Astronomer,Data,Integration,https://www.astronomer.io/,19827,739,13357,7715,414,24,10833,Python,https://github.com/apache/airflow
teambit/bit,Bit Dev,Developer,Catalog,https://bit.dev,12658,184,3567,640,41,90,2554,TypeScript,https://github.com/teambit/bit
brimsec/brim,Brim Security,Networking,Security, https://brimup.com,918,23,1236,52,11,29,902,TypeScript,https://github.com/brimsec/brim
bufbuild/buf,Buf,Developer,API Management,https://buf.build/,1736,37,224,38,6,47,104,Go,https://github.com/bufbuild/buf
open-policy-agent/opa,Build Security,Devops,Security,https://build.security/,4430,104,3040,523,150,90,1810,Go,https://github.com/open-policy-agent/opa
bazelbuild/bazel,BuildBuddy,Developer,Build Tools,https://www.buildbuddy.io/,16016,598,12206,2807,339,96,3878,Java,https://github.com/bazelbuild/bazel
linkerd/linkerd2,Buoyant,Containers,Service Mesh,https://buoyant.io/,6391,187,5313,685,150,156,2907,Go,https://github.com/linkerd/linkerd2
tf-encrypted/tf-encrypted,Cape Privacy,AI/ML,Data Management,https://capeprivacy.com/,806,43,831,138,24,0,439,Python,https://github.com/tf-encrypted/tf-encrypted
chaostoolkit/chaostoolkit,chaos iq,PlatformOps,Chaos Testing,https://chaosiq.io/,1155,39,192,109,10,36,59,Python,https://github.com/chaostoolkit/chaostoolkit
charmbracelet/glow,Charm,Developer,Tools,https://charm.sh/,5814,58,172,110,15,15,99,Go,https://github.com/charmbracelet/glow
checkly/headless-recorder,Checkly,Developer,QA,https://www.checklyhq.com/,12536,208,125,530,14,17,48,JavaScript,https://github.com/checkly/headless-recorder
chromaui/learnstorybook.com,chromatic,Developer,QA,https://www.chromatic.com/,2141,35,429,272,110,0,342,JavaScript,https://github.com/chromaui/learnstorybook.com
m3db/m3,Chronosphere,PlatformOps,Monitoring DB,http://www.chronosphere.io,3355,105,3055,315,79,80,2520,Go,https://github.com/m3db/m3
cloudify-cosmo/cloudify-manager,Cloudify,PlatformOps,Automation,http://cloudify.co,95,40,2540,64,59,1,2532,Python,https://github.com/cloudify-cosmo/cloudify-manager
cockroachdb/cockroach,Cockroach Labs,Data,Database,https://www.cockroachlabs.com/,19649,715,58367,2472,341,0,28613,Go,https://github.com/cockroachdb/cockroach
cdr/code-server,Coder,Developer,IDE,https://coder.com/,38923,636,2366,3020,105,56,484,TypeScript,https://github.com/cdr/code-server
codesandbox/codesandbox-client,CodeSandbox,Developer,Tooling,http://codesandbox.io,10159,187,5222,1613,249,0,2671,JavaScript,https://github.com/codesandbox/codesandbox-client
dask/dask,Coiled,AI/ML,Platform,https://coiled.io/,7711,235,6989,1204,400,0,3576,Python,https://github.com/dask/dask
compound-finance/compound-protocol,Compound,Developer,API Services,https://compound.finance,451,40,88,310,13,10,68,Solidity,https://github.com/compound-finance/compound-protocol
cortexlabs/cortex,Cortex Labs,AI/ML,Platform,http://cortex.dev/,7159,166,1748,544,18,43,895,Go,https://github.com/cortexlabs/cortex
crowdsecurity/crowdsec,CrowdSec,Networking,Security,https://crowdsec.net/,2611,57,555,120,11,33,439,Go,https://github.com/crowdsecurity/crowdsec
cube-js/cube.js,Cube Dev,Developer,Framework,https://cube.dev/,9464,136,1715,797,120,335,1020,JavaScript,https://github.com/cube-js/cube.js
cypress-io/cypress,Cypress,Developer,QA,https://www.cypress.io/,26234,455,9597,1556,229,223,2588,JavaScript,https://github.com/cypress-io/cypress
cyralinc/approzium,cyral,Data ,Security,https://cyral.com/,49,6,207,3,6,5,127,Go,https://github.com/cyralinc/approzium
databand-ai/dbnd,Databand,Data,Orchestration,https://databand.ai/,139,14,41,11,13,0,37,Python,https://github.com/databand-ai/dbnd
dataform-co/dataform,dataform,Data,Quality,https://dataform.co/,304,11,1152,49,16,64,878,TypeScript,https://github.com/dataform-co/dataform
dataframehq/whale,Dataframe,Data,Discovery,https://www.dataframe.ai/,456,20,127,26,10,16,78,Python,https://github.com/dataframehq/whale
forem/forem,Dev.to,Developer,Portals,Dev.to,15763,378,11707,2678,449,0,8181,Ruby,https://github.com/forem/forem
dgraph-io/dgraph,Dgraph,Developer,GraphQl,https://dgraph.io/,14572,373,7202,1076,158,92,4894,Go,https://github.com/dgraph-io/dgraph
dolthub/dolt,DoltHub,Data,Version Control,https://www.dolthub.com,2188,37,1165,73,50,41,874,Go,https://github.com/dolthub/dolt
apache/arrow,Dremio,Data,Database-Analytical,https://www.dremio.com/,6817,315,9085,1710,370,0,8543,C++,https://github.com/apache/arrow
earthly/earthly,Earthly Technologies,Containers,Build Tools,https://earthly.dev/,1662,17,685,70,21,47,503,Go,https://github.com/earthly/earthly
dagster-io/dagster,Elementl,Data,Orchestration,https://www.elementl.com,2480,57,3425,257,94,68,1082,Python,https://github.com/dagster-io/dagster
fingerprintjs/fingerprintjs,FingerprintJS,Developer,Security,https://fingerprintjs.com/,12412,414,590,1531,63,29,163,TypeScript,https://github.com/fingerprintjs/fingerprintjs
frontity/frontity,Frontity,Developer,Framework,https://frontity.com/,1830,52,643,163,31,321,423,TypeScript,https://github.com/frontity/frontity
garden-io/garden,Garden,Containers,Automation,https://garden.io/,1969,38,2175,123,45,130,1536,TypeScript,https://github.com/garden-io/garden
gatsbyjs/gatsby,Gatsby,Developer,Framework,https://www.gatsbyjs.org,48456,942,28480,9163,433,78,16595,JavaScript,https://github.com/gatsbyjs/gatsby
gitpod-io/gitpod,Gitpod,Developer,Environment,https://www.gitpod.io,2941,81,2615,281,27,0,368,TypeScript,https://github.com/gitpod-io/gitpod
gravitational/teleport,Gravitational,Developer,Environment,https://goteleport.com/,8881,229,5206,721,109,252,2791,Go,https://github.com/gravitational/teleport
gretelai/gretel-synthetics,Gretel,AI/ML,Data,https://gretel.ai/,121,12,78,12,6,30,59,Python,https://github.com/gretelai/gretel-synthetics
PyTorchLightning/pytorch-lightning,Grid AI,AI/ML,Development,https://www.grid.ai/,11177,206,5264,1281,347,36,2675,Python,https://github.com/PyTorchLightning/pytorch-lightning
grouparoo/grouparoo,Grouparoo,Data,Integration,https://grouparoo.com,273,7,1125,21,7,93,951,JavaScript,https://github.com/grouparoo/grouparoo
hasura/graphql-engine,Hasura,Developer,GraphQl,http://hasura.io/,19771,282,6304,1741,317,81,2958,Haskell,https://github.com/hasura/graphql-engine
huggingface/transformers,Hugging Face,AI/ML,Development,https://huggingface.co/,38833,698,9374,9542,431,44,3924,Python,https://github.com/huggingface/transformers
apache/druid,Imply,Data,Database,https://imply.io/,10400,634,10702,2794,363,42,6908,Java,https://github.com/apache/druid
cilium/cilium,Isovalent,Networking,Security,https://isovalent.com/,7197,237,14465,856,217,129,9935,Go,https://github.com/cilium/cilium
iterative/dvc,Iterative AI,AI/ML,Version Control,https://iterative.ai/,6986,121,5147,660,186,294,2556,Python,https://github.com/iterative/dvc
jitsucom/eventnative,Jitsu,Data,Integration,https://jitsu.com/,1064,22,157,52,8,47,90,Go,https://github.com/jitsucom/eventnative
lensesio/fast-data-dev,Lenses.io,Data,DataOps,Lenses.io,1457,50,169,243,18,0,61,Shell,https://github.com/lensesio/fast-data-dev
logicalclocks/hopsworks,Logical Clocks,AI/ML,Platform,http://www.logicalclocks.com,348,21,790,58,31,13,790,Java,https://github.com/logicalclocks/hopsworks
materializeinc/materialize,Materialize,Data,Database-Streaming,https://materialize.io/,2133,50,5169,115,38,18,3560,Rust,https://github.com/materializeinc/materialize
meilisearch/MeiliSearch,MeiliSearch,Data,Search Engine,https://www.meilisearch.com/,10775,157,1075,342,41,30,557,Rust,https://github.com/meilisearch/MeiliSearch
linkedin/datahub,Metaphor Data,Data,Discovery,https://linkedin.github.io/datahub/,2566,198,2037,723,61,13,1521,TypeScript,https://github.com/linkedin/datahub
mindsdb/mindsdb,MindsDB,AI/ML,Data,http://mindsdb.com,3123,212,1023,406,47,31,539,Python,https://github.com/mindsdb/mindsdb
MycroftAI/mycroft-core,Mycroft AI,AI/ML,Voiec,www.mycroft.ai,4814,293,2761,1058,141,124,1847,Python,https://github.com/MycroftAI/mycroft-core
n8n-io/n8n,n8n.io,Workflow,Automation,https://n8n.io/,11557,190,1302,888,105,0,1036,TypeScript,https://github.com/n8n-io/n8n
vesoft-inc/nebula,Nebula Graph,Data,Database-Graph,https://nebula-graph.io,5527,158,2429,534,55,10,1615,C++,https://github.com/vesoft-inc/nebula
netdata/netdata,Netdata,PlatformOps,Monitoring,https://www.netdata.cloud/,50951,1437,10416,4671,398,40,4422,C,https://github.com/netdata/netdata
nuxt/nuxt.js,NuxtJS,Developer,Framework,https://nuxtjs.org/,32864,753,8396,2744,272,141,2572,JavaScript,https://github.com/nuxt/nuxt.js
d3/d3,Observable,Data,Visualization,https://observablehq.com/,95113,3976,3161,22440,121,161,1100,JavaScript,https://github.com/d3/d3
apache/tvm,OctoML,AI/ML,Compiler,https://octoml.ai/,6128,382,7188,1785,394,9,5521,Python,https://github.com/apache/tvm
okteto/okteto,Okteto,Developer,Environment,https://okteto.com/,1414,30,1228,126,24,96,799,Go,https://github.com/okteto/okteto
onepanelio/core,Onepanel,AI/ML,Platform,https://www.onepanel.io,367,17,814,29,7,30,378,Go,https://github.com/onepanelio/core
opstrace/opstrace,Opstrace,PlatformOps,Observability,https://opstrace.com/,332,8,215,9,9,0,109,TypeScript,https://github.com/opstrace/opstrace
orchest/orchest,Orchest,AI/ML,Orchestration,www.orchest.io,583,11,102,29,5,14,71,Python,https://github.com/orchest/orchest
OrchidTechnologies/orchid,Orchid,Networking,Security,www.orchid.com,291,51,64,56,13,18,35,C++,https://github.com/OrchidTechnologies/orchid
panther-labs/panther,Panther Labs,Security,SIEM,https://www.runpanther.io/,798,24,2288,70,32,29,1542,Go,https://github.com/panther-labs/panther
pingcap/tidb,PingCap,Data,Database,https://pingcap.com/,26404,1354,22121,4119,397,114,15676,Go,https://github.com/pingcap/tidb
pixie-labs/pixie,Pixie,PlatformOps,Observability,https://pixielabs.ai/,502,32,190,27,10,0,133,Python,https://github.com/pixie-labs/pixie
planetscale/vitess-operator,Planetscale,Data,Database,https://www.planetscale.com/,87,22,166,15,13,4,143,Go,https://github.com/planetscale/vitess-operator
PostHog/posthog,PostHog,Developer,Analytics,https://posthog.com/,3568,50,2829,252,59,0,1729,Python,https://github.com/PostHog/posthog
PrefectHQ/prefect,Prefect,Data,Orchestration,https://www.prefect.io/,5627,140,3769,480,145,78,2295,Python,https://github.com/PrefectHQ/prefect
